,0,1,2,3,4,5,6,7,8,Scenario
0,0.0,-1.7539588023474555,-4.282796980068128,-3.5658496384414544,-5.362821734030615,-5.167751793755146,-5.911539243401109,-4.355265135536487,-5.581115048259586,high
1,0.0,-0.3434050060050894,-3.168681669892821,-2.83148069490412,-4.217900398771231,-4.045038773525584,-4.799196995504996,-3.137720292893278,-4.454228245547932,high
2,0.0,-0.8879388755838941,-3.040701501429568,-3.090042502563042,-4.6218751019728375,-4.244901776209818,-5.139465324020981,-3.5663750214386605,-4.837909217265842,high
3,0.0,-4.409229951761579,-6.922397460589425,-4.629224152680234,-7.246990658643504,-7.615322554697618,-8.725695505595262,-6.648016226599963,-6.973102061134993,high
4,0.0,0.8253589779129418,-1.6198564818371972,-1.9556665731400007,-3.1331829623096543,-2.676653525805568,-3.3314894102285364,-1.732531765256082,-2.838247401343144,high
5,0.0,-1.7589911360759742,-4.946337407320868,-3.6214868588820814,-5.545606443526905,-5.589980890333495,-6.317999023660428,-4.482769084288949,-5.558254491142868,high
6,0.0,-1.9591917218489288,-3.855311080790468,-3.396355814996488,-4.937632026954749,-4.785562073606232,-5.618035845339555,-4.298463562954497,-5.47255581447638,high
7,0.0,-2.3632573837552853,-4.76254599786656,-3.800357764246947,-5.819079477719948,-5.680756484429399,-6.520853728611923,-4.855546529334437,-5.863650141115629,high
8,0.0,-1.078348665543175,-3.1637759190918606,-3.1686918946165257,-4.64095762947781,-4.309599537507531,-5.193585637959884,-3.7240518558699423,-5.080782665904763,high
9,0.0,-4.592138920302532,-6.371442193561748,-4.671030078286646,-6.984554476839346,-7.192493208800961,-8.271240298632437,-6.691038831503273,-7.349347032866607,high
10,0.0,0.5132754029901999,-2.874683467731974,-2.722975545862397,-4.437327831083219,-3.905119306499111,-4.466937572857379,-2.5507863548579133,-3.910844417902053,high
11,0.0,-3.690713489991572,-5.920190800380341,-4.508824418416698,-6.8009708425063815,-6.871406015559909,-7.96107458282506,-6.179342571563174,-7.08030113491107,high
12,0.0,-1.766448274984465,-4.04714445988429,-3.416119368417621,-5.200828245907106,-5.05695886955042,-5.984045114753863,-4.28283991142372,-5.263532692044966,high
13,0.0,-3.7724620780204345,-6.2988706252589965,-4.519536676802229,-6.8616890393303285,-7.054951823571297,-8.05354226320128,-6.222960749993768,-7.015825398146307,high
14,0.0,0.6804333572220498,-1.7525606363924695,-2.343808304828106,-3.4988635968418658,-3.037272570154752,-3.931786872759312,-2.2475692700885053,-3.673978164027033,high
15,0.0,-2.2242370123902875,-4.814018966253054,-3.778586821315098,-5.861409507083644,-5.82137830581783,-6.854785005169739,-4.875288309864585,-5.734919341614739,high
16,0.0,-2.00196468588608,-4.86801396316322,-3.791323493712235,-5.812398220447113,-5.772860864645562,-6.692817943904076,-4.775073510897626,-5.814841103177705,high
17,0.0,-0.5539020340791868,-4.5798791896833375,-3.512421634574666,-5.621771007510093,-5.369584142661309,-5.9557513129111,-3.8100716842094298,-5.148418073686816,high
18,0.0,-1.050807674661405,-4.016504687977799,-3.2872320194116527,-5.023479031760548,-4.818955929803823,-5.460822172804901,-3.7949854340465214,-5.0469226612688285,high
19,0.0,-3.354665541354697,-5.090398412491694,-4.036496078609836,-6.165218857035959,-6.069479949559211,-7.016212415380207,-5.48304550443143,-6.227234244926572,high
20,0.0,-1.9115430211873667,-3.929089051335855,-3.662022195338147,-5.563411226314419,-5.113807738058941,-5.9191820318471216,-4.4431151981137695,-5.665442590477891,high
21,0.0,-1.4887009421069248,-3.680111929106347,-3.4957580817788965,-5.225778224414877,-4.887519764000021,-5.829172799852028,-4.208604238324498,-5.49094139724163,high
22,0.0,0.015237325349806,-1.8904213990949,-2.366360231498983,-3.626986526225764,-3.1000163784095007,-3.850061234045256,-2.433475343084702,-3.613508414266639,high
23,0.0,0.3869158046357138,-3.230768968630074,-2.6836840348791697,-4.241029523678843,-3.9736136951319327,-4.492482099280696,-2.6289053809958296,-3.982557512074034,high
24,0.0,-3.038503446174704,-5.835560859781574,-3.997241089358165,-6.47699897243537,-6.439502292419005,-7.040786102964527,-5.240024114922821,-5.782529411419187,high
25,0.0,-1.1966682365132315,-4.581188569517673,-3.438236429777005,-5.39150865357875,-5.33763453483416,-6.087494989809353,-4.079524987326389,-5.15110601661774,high
26,0.0,0.659918950863874,-1.1832169436218152,-1.9942853544715848,-3.082083481293676,-2.4514054963410694,-3.1613776086226446,-1.789959285221525,-3.0205822250919074,high
27,0.0,-0.3200201658866936,-3.2246059767332893,-2.874926969474976,-4.642439823687391,-4.174388995376394,-4.713876867302016,-3.0090137311997505,-4.172852721754722,high
28,0.0,0.6108864864934961,-1.9160777145250487,-2.2758624259919653,-3.568263132545583,-2.986754185837329,-3.535201324833075,-2.05115836686576,-3.395523197931344,high
29,0.0,0.2249269259407294,-3.531778551048951,-2.9362514992698703,-4.84067830450977,-4.428066576713921,-4.968909056833414,-2.8989750180982736,-4.169285202011954,high
0,0.0,9.102025878355107,5.436485070061434,1.7345651130123567,2.4091433006048835,4.006799362014631,4.141212249915977,5.40489106051952,2.853874809126592,low
1,0.0,10.024115793791289,6.606331083348522,2.152776315947144,2.986311464793848,4.903175184837496,5.074207401105414,6.252318449301372,3.5431482378794485,low
2,0.0,8.340214863807251,4.361391247500792,1.4325844640487908,1.7227774615823412,3.130617643652883,3.2783575790068844,4.7830438852187225,2.6245158552543844,low
